Note,"max_f0"
A0,"0.0"
A0,"0.1"
A0,"0.2"
A0,"0.3"
A0,"0.4"
A0,"0.5"
A0,"0.6"
A0,"0.7"
A0,"0.8"
A0,"0.9"
A0,"1.0"
A0,"1.1"
A0,"1.2"
A0,"1.3"
A0,"1.4"
A0,"1.5"
A0,"1.6"
A0,"1.7"
A0,"1.8"
A0,"1.9"
A0,"2.0"
A0,"2.1"
A0,"2.2"
A0,"2.3"
A0,"2.4"
A0,"2.5"
A0,"2.6"
A0,"2.7"
A0,"2.8"
A0,"2.9"
A0,"3.0"
A0,"3.1"
A0,"3.2"
A0,"3.3"
A0,"3.4"
A0,"3.5"
A0,"3.6"
A0,"3.7"
A0,"3.8"
A0,"3.9"
A0,"4.0"
A0,"4.1"
A0,"4.2"
A0,"4.3"
A0,"4.4"
A0,"4.5"
A0,"4.6"
A0,"4.7"
A0,"4.8"
A0,"4.9"
A0,"5.0"
A0,"5.1"
A0,"5.2"
A0,"5.3"
A0,"5.4"
A0,"5.5"
A0,"5.6"
A0,"5.7"
A0,"5.8"
A0,"5.9"
A0,"6.0"
A0,"6.1"
A0,"6.2"
A0,"6.3"
A0,"6.4"
A0,"6.5"
A0,"6.6"
A0,"6.7"
A0,"6.8"
A0,"6.9"
A0,"7.0"
A0,"7.1"
A0,"7.2"
A0,"7.3"
A0,"7.4"
A0,"7.5"
A0,"7.6"
A0,"7.7"
A0,"7.8"
A0,"7.9"
A0,"8.0"
A0,"8.1"
A0,"8.2"
A0,"8.3"
A0,"8.4"
A0,"8.5"
A0,"8.6"
A0,"8.7"
A0,"8.8"
A0,"8.9"
A0,"9.0"
A0,"9.1"
A0,"9.2"
A0,"9.3"
A0,"9.4"
A0,"9.5"
A0,"9.6"
A0,"9.7"
A0,"9.8"
A0,"9.9"
A0,"10.0"
A0,"10.1"
A0,"10.2"
A0,"10.3"
A0,"10.4"
A0,"10.5"
A0,"10.6"
A0,"10.7"
A0,"10.8"
A0,"10.9"
A0,"11.0"
A0,"11.1"
A0,"11.2"
A0,"11.3"
A0,"11.4"
A0,"11.5"
A0,"11.6"
A0,"11.7"
A0,"11.8"
A0,"11.9"
A0,"12.0"
A0,"12.1"
A0,"12.2"
A0,"12.3"
A0,"12.4"
A0,"12.5"
A0,"12.6"
A0,"12.7"
A0,"12.8"
A0,"12.9"
A0,"13.0"
A0,"13.1"
A0,"13.2"
A0,"13.3"
A0,"13.4"
A0,"13.5"
A0,"13.6"
A0,"13.7"
A0,"13.8"
A0,"13.9"
A0,"14.0"
A0,"14.1"
A0,"14.2"
A0,"14.3"
A0,"14.4"
A0,"14.5"
A0,"14.6"
A0,"14.7"
A0,"14.8"
A0,"14.9"
A0,"15.0"
A0,"15.1"
A0,"15.2"
A0,"15.3"
A0,"15.4"
A0,"15.5"
A0,"15.6"
A0,"15.7"
A0,"15.8"
A0,"15.9"
A0,"16.0"
A0,"16.1"
A0,"16.2"
A0,"16.3"
A0,"16.4"
A0,"16.5"
A0,"16.6"
A0,"16.7"
A0,"16.8"
A0,"16.9"
A0,"17.0"
A0,"17.1"
A0,"17.2"
A0,"17.3"
A0,"17.4"
A0,"17.5"
A0,"17.6"
A0,"17.7"
A0,"17.8"
A0,"17.9"
A0,"18.0"
A0,"18.1"
A0,"18.2"
A0,"18.3"
A0,"18.4"
A0,"18.5"
A0,"18.6"
A0,"18.7"
A0,"18.8"
A0,"18.9"
A0,"19.0"
A0,"19.1"
A0,"19.2"
A0,"19.3"
A0,"19.4"
A0,"19.5"
A0,"19.6"
A0,"19.7"
A0,"19.8"
A0,"19.9"
A0,"20.0"
A0,"20.1"
A0,"20.2"
A0,"20.3"
A0,"20.4"
A0,"20.5"
A0,"20.6"
A0,"20.7"
A0,"20.8"
A0,"20.9"
A0,"21.0"
A0,"21.1"
A0,"21.2"
A0,"21.3"
A0,"21.4"
A0,"21.5"
A0,"21.6"
A0,"21.7"
A0,"21.8"
A0,"21.9"
A0,"22.0"
A0,"22.1"
A0,"22.2"
A0,"22.3"
A0,"22.4"
A0,"22.5"
A0,"22.6"
A0,"22.7"
A0,"22.8"
A0,"22.9"
A0,"23.0"
A0,"23.1"
A0,"23.2"
A0,"23.3"
A0,"23.4"
A0,"23.5"
A0,"23.6"
A0,"23.7"
